COLEGIO,ALUMNADO,TIEMPO MINIMO,VOLUMEN MAXIMO
Liceo Sara Troncoso,724,2,600.000
CAMINO EL ASIENTO,73,3,60.000
HACIENDA ALHUE,100,1,80.000
Barrancas de Pichi,84,2,70.000
Escuela San Alfonso,156,3,120.000
